question_id,category,difficulty,question_text,keywords,reference_answer,language
115,Personality Test,medium,Describe a time when you worked effectively in a team.,teamwork|collaboration|role|communication|goal|success,"Strong answers describe a specific team situation, the candidate's role, how they collaborated with others, resolved any conflicts, and the successful outcome achieved together.",en
116,Personality Test,hard,You discover your commanding officer is involved in corruption. What do you do?,ethics|corruption|whistleblower|duty|integrity|report,"A mature answer prioritizes integrity and institutional duty. Steps include: documenting evidence carefully, reporting through proper channels to higher authority, using formal complaint mechanisms, understanding whistleblower protections, and accepting personal risk for the greater good.",en
117,Personality Test,medium,How do you manage stress in high-pressure situations?,stress|pressure|calm|manage|technique|resilience,"Good answers describe specific techniques: controlled breathing, prioritizing tasks, staying focused on the objective, physical fitness maintaining mental resilience, drawing on training, and keeping perspective on what can be controlled.",en
118,Personality Test,easy,What do you know about the NDA training curriculum?,nda|training|academic|physical|military|3 years,"NDA offers a 3-year training program combining academic education (BA/BSc degree), military training (drills, weapons, tactics), physical fitness, adventure activities, and character building, producing well-rounded officers.",en
119,Personality Test,hard,"If you had to choose between saving one civilian or completing a critical mission, what would you choose?",dilemma|moral|mission|civilian|decision|ethical,"This tests moral reasoning. Strong answers acknowledge the difficulty, weigh the consequences (strategic importance of mission vs. sanctity of individual life), consider whether alternative solutions exist, and demonstrate the ability to make tough decisions while showing empathy.",en
120,Personality Test,medium,Where do you see yourself in 10 years if selected for the Armed Forces?,career|vision|growth|service|leadership|rank,"Good answers show realistic career awareness: progressing through ranks, developing expertise in a specialization, commanding units, taking on greater responsibility, contributing to India's defence capabilities, and potentially qualifying for senior leadership or staff positions.",en
121,Defence Knowledge,easy,What is the motto of the Indian Army?,motto|service before self|indian army,"The motto of the Indian Army is 'Service Before Self', reflecting the commitment to duty above personal interests.",en
122,Defence Knowledge,easy,Name the three training academies for the Indian Armed Forces.,ima|nda|ina|afa|dehradun|khadakwasla|hyderabad,"The three main academies are NDA (Khadakwasla, Pune) for joint training, IMA (Dehradun) for Army officers, INA (Ezhimala) for Navy, and AFA (Hyderabad) for Air Force.",en
123,Defence Knowledge,medium,What is the role of the Chief of Defence Staff (CDS) in India?,cds|integration|jointness|theatre command|bipin rawat,"The CDS is the permanent chairman of the Chiefs of Staff Committee, responsible for bringing jointness and integration among the three services, advising the government on military matters, and heading the Department of Military Affairs.",en
124,Defence Knowledge,medium,Explain the rank structure of the Indian Army from Lieutenant to General.,lieutenant|captain|major|colonel|brigadier|general,The rank structure is: Lieutenant → Captain → Major → Lieutenant Colonel → Colonel → Brigadier → Major General → Lieutenant General → General. Each rank carries increasing levels of command responsibility.,en
125,Defence Knowledge,hard,Discuss India's integrated theatre command concept and its strategic implications.,theatre command|integration|jointness|cds|reform|operational,"Integrated theatre commands aim to unify Army, Navy, and Air Force assets under single operational commanders for specific geographic/threat areas. This improves coordination, reduces redundancy, and enables faster decision-making in modern warfare, following models used by the US and China.",en
126,Defence Knowledge,easy,What is the Indian Air Force's primary fighter aircraft?,sukhoi|su-30mki|rafale|tejas|fighter|iaf,"The IAF operates the Su-30MKI as its primary air superiority fighter, supplemented by Rafale omnirole jets, and the indigenous Tejas (LCA) light combat aircraft.",en
127,Defence Knowledge,medium,Explain the concept of surgical strikes and India's use of this tactic.,surgical strike|precision|cross border|2016|uri|balakot,"Surgical strikes are precision military operations targeting specific threats while minimizing collateral damage. India conducted cross-border surgical strikes in September 2016 after the Uri attack and the Balakot airstrike in February 2019 against terrorist camps, demonstrating India's willingness to respond proactively.",en
128,Defence Knowledge,hard,Analyze India's maritime doctrine and the concept of blue-water navy.,blue water|aircraft carrier|projection|indian ocean|maritime|dominance,"A blue-water navy can operate globally across deep oceans. India is developing this capability with aircraft carriers (INS Vikrant, INS Vikramaditya), nuclear submarines (INS Arihant class), and overseas base access. India's maritime doctrine focuses on Indian Ocean dominance, sea lane security, and power projection.",en
129,Defence Knowledge,easy,What is CRPF and what role does it play?,crpf|paramilitary|internal security|central reserve police,"CRPF (Central Reserve Police Force) is India's largest paramilitary force, responsible for internal security, counter-insurgency operations, managing law and order, and assisting in disaster management.",en
130,Defence Knowledge,medium,What is India's nuclear triad and why is it important?,nuclear triad|land|sea|air|deterrence|second strike,"India's nuclear triad consists of land-based missiles (Agni series), submarine-launched ballistic missiles (K-4, K-15 from Arihant-class submarines), and air-delivered nuclear weapons (Rafale, Su-30MKI). This ensures a credible second-strike capability, meaning India can retaliate even after absorbing a first nuclear strike.",en
131,DRDO,easy,What is DRDO and when was it established?,drdo|1958|defence research|development|organization,DRDO (Defence Research and Development Organisation) was established in 1958 by merging the Technical Development Establishment and the Directorate of Technical Development and Production. It is India's premier defence R&D organization under the Ministry of Defence.,en
132,DRDO,easy,Name three missile systems developed by DRDO.,agni|prithvi|akash|nag|brahmos|missile,"Major DRDO missiles include: Agni series (ballistic, 700-5000+ km range), Prithvi (short-range tactical), Akash (surface-to-air), Nag (anti-tank), and BrahMos (supersonic cruise, developed with Russia).",en
133,DRDO,medium,Explain the Agni missile series and its strategic significance.,agni|ballistic|icbm|nuclear|range|strategic,"The Agni series includes: Agni-I (700km), Agni-II (2000km), Agni-III (3000km), Agni-IV (4000km), Agni-V (5000+ km ICBM). They form the backbone of India's land-based nuclear deterrent, capable of reaching any target in Asia and beyond.",en
134,DRDO,medium,What is the Tejas Light Combat Aircraft and its significance?,tejas|lca|fighter|indigenous|hal|single engine,"Tejas (LCA) is India's indigenous single-engine multirole light combat aircraft developed by DRDO's ADA and manufactured by HAL. It demonstrates India's capability to design advanced fighter aircraft domestically, reducing dependence on imports.",en
135,DRDO,hard,Discuss the DRDO's contribution to India's missile defence system.,bmd|pdr|aad|interceptor|anti ballistic|prithvi defence,"DRDO developed India's Ballistic Missile Defence system with two tiers: the Prithvi Defence Vehicle for exo-atmospheric interception and the Advanced Area Defence missile for endo-atmospheric interception. Successfully tested against target missiles, it aims to protect key installations from ballistic missile attacks.",en
136,DRDO,easy,What is BrahMos missile?,brahmos|supersonic|cruise|russia|joint venture|mach 2.8,"BrahMos is a supersonic cruise missile jointly developed by India's DRDO and Russia's NPOM. It travels at Mach 2.8, has a range of 290-500 km, and can be launched from land, sea, air, and submarines, making it one of the fastest cruise missiles in the world.",en
137,DRDO,medium,Explain DRDO's role in developing the Arjun Main Battle Tank.,arjun|mbt|tank|combat|indigenous|cvrde,"The Arjun MBT was developed by DRDO's CVRDE in Chennai. It features a 120mm rifled gun, composite armor, fire control system, and NBC protection. The Arjun Mk-1A variant includes 72 improvements over the original, demonstrating India's growing capability in armored vehicle development.",en
138,DRDO,hard,Analyze the significance of the Agni-V ICBM for India's strategic deterrence.,agni-v|icbm|5000|canister|mirv|china|deterrence,"Agni-V is India's first ICBM with 5000+ km range, capable of reaching all of China and parts of Europe. Its canister-launched design enables rapid deployment, and potential MIRV capability (multiple warheads) enhances penetration against missile defences. It fundamentally reshapes India's strategic deterrent posture.",en
139,DRDO,medium,What is the Kaveri engine project?,kaveri|engine|turbofan|aircraft|gtre|indigenous,"The Kaveri is an indigenous gas turbine engine developed by DRDO's GTRE for powering fighter aircraft. While not yet achieving full specifications for Tejas, the project has built critical turbine engine design expertise and its core technology is being adapted for other applications including unmanned combat aircraft.",en
140,DRDO,hard,Discuss DRDO's contributions to electronic warfare and cyber defence.,electronic warfare|ew|radar|jammer|cyber|communication,"DRDO has developed electronic warfare suites for aircraft (Tarang RWR, Tempest ECM), naval EW systems, ground-based radar jammers, and communication intelligence systems. In cyber defence, DRDO's CAIR laboratory works on cryptography, network security, and cyber warfare capabilities essential for modern defence.",en
141,Defence Knowledge,medium,What are the conditions of service for an NDA cadet?,nda|training|3 years|academic|military|physical,"NDA offers a 3-year training program. Cadets receive: academic education (BA/BSc through JNU), military training, physical conditioning, adventure activities, and leadership development. After NDA, cadets undergo 1 year at their respective service academy (IMA/INA/AFA).",en
142,Defence Knowledge,hard,Explain India's Look East/Act East Policy and its defence implications.,act east|asean|indo pacific|southeast asia|defence cooperation,"India's Act East Policy (upgraded from Look East in 2014) strengthens strategic ties with ASEAN and East Asian nations. Defence implications include joint exercises (MALABAR, MILAN), arms exports, port access agreements, intelligence sharing, and building a coalition to maintain a rules-based order in the Indo-Pacific region.",en
143,Defence Knowledge,easy,What is the Indian Navy's motto?,navy|motto|sham no varunah|sea|lord varuna,"The Indian Navy's motto is 'Sham No Varunah', meaning 'May the Lord of the Water be auspicious unto us', derived from the Rigveda.",en
144,Defence Knowledge,medium,Explain the concept of Net-Centric Warfare and India's efforts.,net centric|network|information|c4isr|digital battlefield,"Net-Centric Warfare uses information technology to link sensors, decision-makers, and weapons systems into a unified network. India is developing this through projects like the Tactical Communication System (TCS), BMS (Battlefield Management System), and AFNET (Air Force Network) to create a digitally connected battlefield.",en
145,Defence Knowledge,hard,Discuss India's defence manufacturing ecosystem under 'Make in India'.,make in india|defence corridor|private sector|fdi|ordnance|dpsu,"India's defence manufacturing push includes: two defence corridors (UP and Tamil Nadu), increasing FDI limit to 74%, corporatizing Ordnance Factory Board into 7 DPSUs, positive indigenization lists banning import of 400+ items, and encouraging private sector giants like Tata, L&T, and Adani in defence production.",en
146,Personality Test,hard,You are posted in a remote border area with limited resources. Your team's morale is low. How would you boost it?,morale|leadership|remote|motivation|team|resources,"Strong answers show: understanding root causes of low morale, leading by example, creating small wins, rotating difficult duties fairly, organizing recreational activities, maintaining communication with families, recognizing individual efforts, and building unit cohesion through shared purpose.",en
147,Personality Test,hard,Your unit receives intelligence about a potential infiltration. How do you prepare your team?,intelligence|infiltration|preparation|alert|patrol|defence,"Good responses demonstrate: verifying intelligence, alerting higher command, briefing the team on threat assessment, increasing surveillance and patrols, checking equipment readiness, assigning sectors, establishing communication protocols, and maintaining calm while ensuring combat readiness.",en
148,Personality Test,medium,What qualities make a good military leader?,leadership|integrity|courage|decisiveness|communication|empathy,"Key qualities include: integrity, physical and moral courage, decisiveness under pressure, effective communication, empathy for subordinates, tactical competence, leading by example, adaptability, and selfless service. A good leader inspires trust and brings out the best in their team.",en
149,Personality Test,medium,How do you handle pressure during examinations or competitions?,pressure|exam|preparation|time management|focus|calm,"Strong answers describe systematic preparation strategies, time management techniques, staying focused on the task at hand, maintaining physical fitness for mental clarity, positive self-talk, and drawing confidence from thorough preparation.",en
150,Personality Test,hard,A natural disaster hits your area while you are on leave. What do you do as a defence aspirant?,disaster|duty|civilian|rescue|initiative|volunteer,"Mature answers show initiative: immediately assess the situation, organize available help, assist in rescue and evacuation, coordinate with local authorities, use any first-aid training, help maintain order, and demonstrate the service ethos expected of a defence professional even while off duty.",en
151,Current Affairs,medium,What is the INS Vikrant and its significance for India?,ins vikrant|aircraft carrier|indigenous|warship|navy,"INS Vikrant (IAC-1) is India's first indigenously built aircraft carrier, commissioned in 2022. At 45,000 tonnes, it makes India one of only a few nations capable of designing and building aircraft carriers, boosting India's blue-water naval capability and strategic power projection.",en
152,Current Affairs,hard,Discuss the impact of the Abraham Accords on India's Middle East diplomacy.,abraham accords|israel|uae|bahrain|middle east|diplomacy|india,"The Abraham Accords normalizing Israel's relations with UAE, Bahrain, and others created new diplomatic space for India. India now engages more openly with Israel on defence and technology while maintaining its traditional ties with Arab nations. The I2U2 grouping (India, Israel, UAE, US) exemplifies this new dynamic.",en
153,Current Affairs,medium,What is the importance of the SCO for India?,sco|shanghai|cooperation|india|china|russia|central asia,"The Shanghai Cooperation Organisation gives India diplomatic access to Central Asian nations, a platform for engaging China and Russia on security issues, counter-terrorism cooperation, and economic connectivity. India hosted the SCO Summit in 2023.",en
154,Current Affairs,hard,Analyze India's response to the Chinese Belt and Road Initiative.,bri|belt road|china|cpec|india|opposition|connectivity,"India opposes BRI, particularly CPEC (China-Pakistan Economic Corridor) which passes through Pakistan-occupied Kashmir. India counters with alternative connectivity initiatives: International North-South Transport Corridor, India-Middle East-Europe Economic Corridor (IMEC), and partnerships under the Indo-Pacific framework.",en
155,Current Affairs,medium,What is the Defence Acquisition Procedure (DAP) 2020?,dap|acquisition|buy indian|make|procurement|defence,"DAP 2020 prioritizes indigenous manufacturing with categories like Buy (Indian-IDDM), Buy (Indian), Buy and Make (Indian). It simplified procurement, reduced timelines, promoted innovation through iDEX, and created new categories for leasing and software procurement to modernize India's defence acquisition.",en
156,Science,hard,Explain the concept of hypersonic missiles and their strategic implications.,hypersonic|mach 5|missile|glide vehicle|defence|intercept,"Hypersonic missiles travel at Mach 5+ and come in two types: Hypersonic Glide Vehicles (launched by rockets, glide unpredictably) and Hypersonic Cruise Missiles (powered by scramjet engines). Their speed, maneuverability, and low-altitude flight make them nearly impossible to intercept, potentially rendering current missile defences obsolete.",en
157,Science,medium,What is the difference between a satellite and a space station?,satellite|space station|orbit|iss|crew|unmanned,"A satellite is typically an unmanned object orbiting Earth for communication, navigation, or observation. A space station (like ISS) is a large habitable structure in orbit where astronauts live and conduct research. Satellites are usually smaller and purpose-built, while space stations are modular and support human habitation.",en
158,Science,medium,Explain how night vision goggles work.,night vision|infrared|image intensifier|photon|green|amplify,"Night vision goggles work by collecting available ambient light (including near-infrared) through an objective lens, converting photons to electrons in a photocathode, amplifying them through a microchannel plate, then converting back to visible light on a phosphor screen. The green display is used because human eyes can distinguish more shades of green.",en
159,Geography,hard,Discuss the strategic significance of the Strait of Hormuz for India.,hormuz|oil|iran|persian gulf|energy|chokepoint,"The Strait of Hormuz between Iran and Oman controls access to the Persian Gulf, through which 20% of global oil passes. India imports ~60% of its oil from Gulf nations through this strait. Any disruption would severely impact India's energy security, making it a critical strategic interest.",en
160,Geography,medium,Explain the McMahon Line and its significance in India-China relations.,mcmahon|line|arunachal|tibet|british|simla|1914|boundary,"The McMahon Line, drawn at the 1914 Simla Convention between British India and Tibet, marks the boundary between India and China in the eastern sector. China does not recognize it, claiming Arunachal Pradesh as 'South Tibet'. It remains a major source of border disputes.",en
161,DRDO,medium,What is the Rustom drone program developed by DRDO?,rustom|drone|uav|male|surveillance|tapas,"The Rustom/TAPAS (Tactical Airborne Platform for Aerial Surveillance) is DRDO's indigenous Medium Altitude Long Endurance (MALE) UAV program. It aims to provide the armed forces with a domestic alternative to imported drones like the Israeli Heron, capable of 18+ hours endurance for intelligence and surveillance.",en
162,DRDO,hard,Explain DRDO's development of the Advanced Towed Artillery Gun System (ATAGS).,atags|artillery|155mm|gun|range|howitzer,"ATAGS is a 155mm/52-calibre towed howitzer developed by DRDO with a world-record range of 48 km. It features all-electric drive, high mobility, automated ammunition handling, burst fire capability, and advanced fire control. It demonstrates India's ability to develop world-class artillery systems.",en
163,Defence Knowledge,medium,What is the Combined Commanders Conference?,combined commanders|conference|military|briefing|strategy,"The Combined Commanders Conference is the Indian military's highest-level leadership meeting, presided over by the Prime Minister and attended by the CDS, service chiefs, theatre commanders, and senior officials. It reviews defence preparedness, strategic challenges, and modernization priorities.",en
164,Defence Knowledge,hard,Discuss India's experience and contribution to UN Peacekeeping missions.,unpko|peacekeeping|un|congo|korea|contributions|blue helmet,"India is among the largest contributors to UN Peacekeeping, having deployed over 275,000 troops across 49 missions since 1950. India participated in Korean War, Congo, and currently serves in Lebanon, South Sudan, and others. Over 175 Indian peacekeepers have made the supreme sacrifice.",en
165,Reasoning,hard,A military convoy must cross a bridge that can hold only 2 vehicles at a time. There are 8 vehicles. What is the minimum number of crossings needed?,bridge|crossing|minimum|vehicles|logic|4,"Minimum 4 crossings are needed. Each crossing takes 2 vehicles across: Crossing 1 (vehicles 1,2), Crossing 2 (vehicles 3,4), Crossing 3 (vehicles 5,6), Crossing 4 (vehicles 7,8). The answer is 8÷2 = 4 crossings.",en
166,Reasoning,medium,"In a code language, ARMY is written as BSNZ. How would NAVY be written?",code|cipher|shift|pattern|obwz,"Each letter is shifted by +1 in the alphabet: A→B, R→S, M→N, Y→Z. So NAVY = O(N+1), B(A+1), W(V+1), Z(Y+1) = OBWZ.",en
167,General Knowledge,medium,What is the significance of the Pokhran nuclear tests?,pokhran|nuclear|1974|1998|smiling buddha|shakti|test,"India conducted nuclear tests at Pokhran, Rajasthan: Pokhran-I (Smiling Buddha) in 1974 was a peaceful nuclear explosion. Pokhran-II (Operation Shakti) in 1998 included 5 tests, declaring India a nuclear weapons state and establishing its deterrence capability.",en
168,General Knowledge,hard,Explain the Kargil War of 1999 and its strategic lessons.,kargil|1999|pakistan|infiltration|operation vijay|mountain warfare,"The Kargil War occurred when Pakistan-backed infiltrators occupied strategic heights along the LoC in 1999. India launched Operation Vijay to recapture them. Key lessons: importance of constant border surveillance, mountain warfare capability, air power support at high altitudes, and intelligence preparedness.",en
169,English,hard,Write a brief paragraph on the topic: Should military service be made compulsory in India?,compulsory|military|service|conscription|patriotism|voluntary,"A well-structured answer discusses both sides: arguments for (national unity, discipline, defence preparedness, patriotism) and against (economic impact, personal freedom, existing volunteer system's effectiveness, quality vs quantity). It should arrive at a reasoned conclusion with supporting evidence.",en
170,English,medium,What is the difference between 'principal' and 'principle'?,principal|principle|head|rule|noun|adjective,"Principal (noun/adjective) means the head of an institution or primary/main (e.g., principal of school, principal reason). Principle (noun) means a fundamental truth, law, or ethical standard (e.g., principles of democracy, a man of principle).",en
171,DRDO,easy,What does DRDO's motto 'Strength's Origin is in Science' signify?,motto|balasya mulam vigyanam|science|strength|knowledge,"DRDO's motto 'Balasya Mulam Vigyanam' (Strength's Origin is in Science) signifies that a nation's military strength derives from scientific research and technological advancement, not just numerical strength.",en
172,DRDO,medium,Explain the significance of DRDO's Man Portable Anti-Tank Guided Missile (MPATGM).,mpatgm|anti tank|infantry|fire forget|missile|portable,"MPATGM is a third-generation fire-and-forget anti-tank missile designed for infantry use. Weighing under 15 kg with infrared imaging seeker, it allows soldiers to fire and take cover immediately. It reduces dependence on imported systems like Javelin and Spike.",en
173,Defence Knowledge,easy,What is the INS Arihant and why is it significant?,arihant|submarine|nuclear|ssbn|ballistic|triad,"INS Arihant is India's first indigenous nuclear-powered ballistic missile submarine (SSBN). It completes India's nuclear triad by providing underwater launch capability, ensuring a credible second-strike deterrent even if land and air-based nuclear assets are destroyed.",en
174,Science,hard,Explain the concept of directed energy weapons and their potential military applications.,directed energy|laser|microwave|weapon|beam|defence,"Directed energy weapons use concentrated electromagnetic energy (lasers, microwaves, particle beams) to damage targets. Military applications include: anti-drone systems, missile interception, disabling enemy electronics, and close-in weapon defence. DRDO is developing a 100kW anti-drone laser system.",en
175,Geography,medium,What is the Siliguri Corridor and why is it called Chicken's Neck?,siliguri|corridor|chicken neck|northeast|strategic|narrow,"The Siliguri Corridor is a narrow strip of land (22 km wide) connecting India's northeastern states to the mainland. Called 'Chicken's Neck', it is strategically vulnerable as it is flanked by Nepal, Bhutan, and Bangladesh, making it a critical security concern.",en
176,Current Affairs,medium,What is the AMRIT initiative by DRDO?,amrit|drdo|water purification|technology|arsenic|fluoride,"AMRIT (Arsenic and Metal Removal by Indian Technology) is a DRDO-developed water purification technology that removes arsenic and heavy metals from drinking water. It demonstrates DRDO's dual-use technology capability, applying defence research to civilian welfare.",en
177,Personality Test,medium,You notice a senior officer treating a junior unfairly. What would you do?,fairness|senior|junior|ethics|chain of command|intervention,"A balanced answer shows moral courage while respecting the chain of command: privately approach the senior officer respectfully to share observations, support the junior by ensuring they know proper grievance mechanisms, and if behavior continues, escalate through proper channels without creating unnecessary conflict.",en
178,Personality Test,hard,"During a mission, you realize the orders from your superior will lead to unnecessary casualties. How do you respond?",orders|casualties|ethics|mission|dilemma|duty,"This tests moral reasoning under command hierarchy. Strong answers: voice concerns respectfully to the superior with tactical reasoning, propose alternative approaches, follow lawful orders while documenting concerns, escalate only if orders are clearly unlawful, and prioritize both mission success and troop safety.",en
179,Mathematics,hard,A military patrol covers 12 km in 3 hours against the wind and returns in 2 hours with the wind. Find the speed of the patrol and wind.,speed|wind|distance|patrol|2|6,Speed against wind = 12/3 = 4 km/h. Speed with wind = 12/2 = 6 km/h. Patrol speed = (4+6)/2 = 5 km/h. Wind speed = (6-4)/2 = 1 km/h.,en
180,Mathematics,medium,"If a communication tower 50m tall casts a shadow of 50m, what is the angle of elevation of the sun?",angle|elevation|tower|shadow|45|trigonometry,tan(θ) = height/shadow = 50/50 = 1. Therefore θ = tan⁻¹(1) = 45°.,en
181,Current Affairs,easy,What is the Vande Bharat Express?,vande bharat|train|semi high speed|indigenous|railway,"Vande Bharat Express is India's indigenous semi-high-speed train capable of 160 km/h. Manufactured by ICF Chennai, it features advanced safety systems, comfortable interiors, and represents India's growing self-reliance in railway technology.",en
182,Defence Knowledge,medium,Explain the concept of asymmetric warfare with examples.,asymmetric|guerrilla|conventional|terrorism|insurgency|weaker,"Asymmetric warfare involves conflict between forces of unequal military capability, where the weaker side uses unconventional tactics. Examples: guerrilla warfare in Vietnam, IEDs in Afghanistan, terror attacks, cyber attacks. India faces asymmetric threats primarily from cross-border terrorism and insurgency.",en
183,Science,medium,What are the different types of military satellites?,satellite|reconnaissance|communication|navigation|early warning,"Military satellites serve various functions: reconnaissance (imagery intelligence), communication (secure data/voice links), navigation (GPS-like positioning), electronic intelligence (signals interception), early warning (missile launch detection), and weather observation for operational planning.",en
184,DRDO,hard,Discuss DRDO's development of India's anti-satellite (ASAT) capability.,asat|mission shakti|satellite|space|2019|debris,"In Mission Shakti (March 2019), DRDO successfully tested an anti-satellite missile, destroying a live Indian satellite at 300 km altitude. This made India the 4th nation with demonstrated ASAT capability. The low-altitude test minimized space debris, demonstrating responsible space weapon testing.",en
185,Defence Knowledge,easy,What is NCC and how does it contribute to national defence?,ncc|national cadet corps|youth|training|military,"The National Cadet Corps (NCC) is the world's largest uniformed youth organization. It provides military training to school and college students across Army, Navy, and Air Force wings, fostering patriotism, discipline, and creating a pool of trained youth for national defence needs.",en
186,Geography,hard,Analyze the strategic importance of the Indian Ocean for India's security.,indian ocean|trade|energy|chokepoint|dominance|maritime|china,"The Indian Ocean is critical for India's security: 90% of India's trade by volume, critical energy supply routes, key chokepoints (Hormuz, Malacca, Bab-el-Mandeb). India's geographical position provides natural advantage, countered by China's String of Pearls strategy. India responds through naval modernization, island development, and partnerships.",en
187,General Knowledge,hard,Explain the concept of Cold Start doctrine in Indian military strategy.,cold start|proactive|strategy|pakistan|rapid|mobilization,"Cold Start is India's military doctrine for rapid mobilization of integrated battle groups (IBGs) to launch quick, limited offensives into Pakistan before the international community can intervene. It aims for shallow territorial gains as punitive action, staying below Pakistan's nuclear threshold.",en
188,Reasoning,hard,"A military base has 3 layers of security. If the probability of breaching each layer independently is 0.2, what is the probability that all 3 layers are breached?",probability|independent|layers|security|0.008,"Since layers are independent, P(all breached) = 0.2 × 0.2 × 0.2 = 0.008 or 0.8%. This demonstrates why multi-layered security is effective.",en
189,DRDO,medium,What is the Pinaka Multi-Barrel Rocket Launcher system?,pinaka|rocket|launcher|mbrl|artillery|range,"Pinaka is an indigenous multiple launch rocket system developed by DRDO for the Indian Army. It can fire 12 rockets in 44 seconds across 37-75 km range. The enhanced version has guided rockets with improved accuracy, providing devastating area saturation fire support.",en
190,Defence Knowledge,medium,"What is the difference between a frigate, destroyer, and aircraft carrier?",frigate|destroyer|carrier|warship|navy|tonnage,"A frigate (3000-5000 tonnes) handles escort and anti-submarine warfare. A destroyer (6000-10000 tonnes) is larger with more weapons for multi-role combat. An aircraft carrier (40000+ tonnes) is the largest, serving as a mobile airbase carrying fighter jets and helicopters for power projection.",en
191,Personality Test,medium,What book has influenced you the most and why?,book|influence|reading|learning|inspiration|values,"This assesses intellectual curiosity and values. Strong answers name a specific book, explain what they learned from it, how it changed their thinking or behavior, and connect those lessons to their aspiration for military service.",en
192,Current Affairs,medium,What is the significance of the India-France strategic partnership in defence?,france|rafale|scorpene|submarine|strategic|partnership,"The India-France defence partnership includes: Rafale fighter jets, Scorpene-class submarine technology transfer, joint exercises (Varuna, Garuda), space cooperation, and nuclear technology. France supports India's UNSC permanent membership bid and shares India's Indo-Pacific vision.",en
193,English,medium,Explain the meaning of the phrase: The pen is mightier than the sword.,pen|sword|writing|power|ideas|communication,"This phrase means that written words, ideas, and diplomacy are more powerful and enduring than military force or violence. Ideas spread through writing can inspire movements, change laws, and shape civilizations in ways that physical force cannot sustain.",en
194,Science,easy,What is the SI unit of force?,newton|force|si unit|kg|acceleration,The SI unit of force is the Newton (N). One Newton is the force required to accelerate a mass of 1 kilogram at 1 metre per second squared (1 N = 1 kg·m/s²).,en
195,Mathematics,easy,"If a soldier runs 100 meters in 12 seconds, what is his speed in km/h?",speed|convert|100m|12s|30|km per hour,Speed = 100/12 m/s = 8.33 m/s. Converting to km/h: 8.33 × 3.6 = 30 km/h.,en
196,General Knowledge,easy,Who wrote the Indian national anthem?,rabindranath tagore|jana gana mana|national anthem|1911,"Rabindranath Tagore wrote 'Jana Gana Mana', which was adopted as India's national anthem on 24 January 1950. It was first sung at the Calcutta session of the Indian National Congress in 1911.",en
197,Geography,easy,Name the largest state of India by area.,rajasthan|largest|state|area|342239,"Rajasthan is the largest state of India by area, covering approximately 342,239 square kilometres, located in northwestern India.",en
198,Reasoning,easy,"If all soldiers are disciplined and Ram is a soldier, what can we conclude?",logic|deduction|soldier|disciplined|syllogism,We can conclude that Ram is disciplined. This is a straightforward deductive syllogism: All soldiers are disciplined (major premise) + Ram is a soldier (minor premise) = Ram is disciplined (conclusion).,en
199,DRDO,easy,What is the Astra missile?,astra|beyond visual range|bvr|air to air|missile|drdo,"Astra is India's first indigenous beyond-visual-range (BVR) air-to-air missile developed by DRDO. It has a range of 110+ km and is designed for use on the Su-30MKI, Tejas, and MiG-29 fighters, reducing India's dependence on imported air combat missiles.",en
200,Defence Knowledge,easy,What oath does an Indian military officer take during commissioning?,oath|commissioning|allegiance|constitution|india|serve,"Indian military officers take an oath of allegiance to the Constitution of India, swearing to serve the nation faithfully, uphold the honour of the service, and defend India against all enemies, placing duty above personal interests.",en
201,DRDO,medium,Explain DRDO's Smart Anti-Airfield Weapon (SAAW).,saaw|anti airfield|glide bomb|precision|runway|drdo,"SAAW is a precision-guided anti-airfield weapon developed by DRDO, designed to destroy enemy runways, bunkers, and radar installations from a stand-off range of 100+ km. It uses GPS/INS guidance and can be launched from aircraft at high altitude.",en
202,Defence Knowledge,hard,Discuss the challenges of mountain warfare and India's preparedness.,mountain warfare|high altitude|acclimatization|logistics|siachen|ladakh,"Mountain warfare challenges include: extreme altitude (hypoxia, frostbite), difficult logistics (narrow supply lines), limited mobility, severe weather, and acclimatization needs. India's preparedness includes specialized mountain divisions, HAWS (High Altitude Warfare School), infrastructure development (road/tunnel building in border areas), and advanced cold-weather equipment.",en
203,Current Affairs,hard,What is the India-Middle East-Europe Economic Corridor (IMEC)?,imec|corridor|india|middle east|europe|g20|connectivity,"IMEC, announced at the 2023 G20 Summit, is a multimodal transport corridor connecting India to Europe via the Middle East (UAE, Saudi Arabia, Jordan, Israel). It aims to boost trade, energy connectivity (hydrogen pipeline), and digital links, serving as an alternative to China's Belt and Road Initiative.",en
204,Personality Test,easy,What are your hobbies and how do they help you?,hobbies|sports|reading|fitness|development|skills,"Good answers connect hobbies to personal development: physical fitness through sports, discipline through martial arts, strategic thinking through chess, empathy through reading, teamwork through team sports. They show how hobbies contribute to qualities needed in military service.",en
205,Science,easy,What is the boiling point of water at sea level?,boiling point|100|celsius|water|sea level|pressure,"The boiling point of water at sea level (1 atmosphere standard pressure) is 100 degrees Celsius (212 degrees Fahrenheit). At higher altitudes, the boiling point decreases due to lower atmospheric pressure.",en
206,Geography,medium,What is the Palk Strait and which two countries does it separate?,palk|strait|india|sri lanka|tamil nadu|narrow,"The Palk Strait is a narrow strip of ocean separating Tamil Nadu (India) from northern Sri Lanka. It is approximately 53-80 km wide and is significant for fishing, maritime boundary disputes, and historical connectivity between the two nations.",en
